# {"time_iso8601_last_update_rki": "2021-08-16T17:00:00+0000", "time_iso8601_last_update_rl": "2021-08-17T08:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
9477,LK Kulmbach,Bayern,71566,4102,8.38,117,4102,11.18,117
9478,LK Lichtenfels,Bayern,66776,3679,7.49,73,3609,5.99,85
9479,LK Wunsiedel i.Fichtelgebirge,Bayern,72655,5054,12.39,198,5054,12.39,198
9561,SK Ansbach,Bayern,41798,1945,43.06,45,1900,35.89,45
9562,SK Erlangen,Bayern,112528,4090,20.44,95,4093,21.33,95
9563,SK Fürth,Bayern,128497,7818,23.35,225,7827,24.13,225
9564,SK Nürnberg,Bayern,518370,35190,30.87,973,35206,32.41,968
9565,SK Schwabach,Bayern,40981,2171,21.96,105,2171,21.96,105
9571,LK Ansbach,Bayern,184591,8489,7.04,197,8493,6.50,197
9572,LK Erlangen-Höchstadt,Bayern,137262,5519,15.30,130,5521,14.57,131
9573,LK Fürth,Bayern,117853,5434,15.27,209,5433,15.27,209
9574,LK Nürnberger Land,Bayern,170792,7549,14.05,202,7517,12.30,189
9575,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern,101014,4436,7.92,107,4436,7.92,107
9576,LK Roth,Bayern,126749,5735,17.36,174,5734,15.78,174
9577,LK Weißenburg-Gunzenhausen,Bayern,94734,3953,17.94,118,3953,17.94,118
9661,SK Aschaffenburg,Bayern,71002,3610,33.80,115,3614,39.44,115
9662,SK Schweinfurt,Bayern,53426,3220,43.05,97,3223,46.79,94
9663,SK Würzburg,Bayern,127934,4706,29.70,124,4709,31.27,124
9671,LK Aschaffenburg,Bayern,174200,8150,23.54,214,8152,22.96,214
9672,LK Bad Kissingen,Bayern,103235,3688,24.22,104,3692,24.22,104
9673,LK Rhön-Grabfeld,Bayern,79635,3571,6.28,89,3572,8.79,89
9674,LK Haßberge,Bayern,84384,4120,14.22,87,4123,14.22,87
9675,LK Kitzingen,Bayern,91155,3377,20.84,87,3376,21.94,87
9676,LK Miltenberg,Bayern,128743,6273,28.74,129,6135,27.19,130
9677,LK Main-Spessart,Bayern,126158,4840,30.12,215,4842,27.74,215
9678,LK Schweinfurt,Bayern,115445,5206,20.79,139,5207,21.66,139
9679,LK Würzburg,Bayern,162302,4530,11.71,74,4533,12.94,74
9761,SK Augsburg,Bayern,296582,18691,43.16,406,18488,43.50,406
9762,SK Kaufbeuren,Bayern,44398,2543,22.52,57,2427,20.27,56
9763,SK Kempten,Bayern,69151,3320,27.48,52,3323,33.26,49
9764,SK Memmingen,Bayern,44100,2285,27.21,26,2286,27.21,26
9771,LK Aichach-Friedberg,Bayern,134655,5303,25.25,101,5305,26.73,101
9772,LK Augsburg,Bayern,253468,11633,21.30,235,11651,21.70,235
9773,LK Dillingen a.d.Donau,Bayern,96562,3962,60.07,123,3951,60.07,121
9774,LK Günzburg,Bayern,127027,6992,17.32,110,6994,19.68,110
9775,LK Neu-Ulm,Bayern,175204,7774,25.68,123,7777,27.40,122
9776,LK Lindau,Bayern,81981,3503,26.84,63,3503,26.84,63
9777,LK Ostallgäu,Bayern,141182,7158,35.42,133,7260,35.42,134
